Cardinality,MIP_mean_entropy,MIP_std_entropy,TOPK_mean_entropy,TOPK_std_entropy,BP_mean_entropy,BP_std_entropy,RND_mean_entropy,RND_std_entropy,SB_mean_entropy,SB_std_entropy,SF_mean_entropy,SF_std_entropy,ICARUS_mean_entropy,ICARUS_std_entropy
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.6421256437404357,0.6421256437404357,0.6421256437404357,0.6421256437404357,NA,NA,0.5970459422542933,0.19574806581434986,0.44155659070470515,0.19548075879027968,0.9008965244436109,0.09598693007847718,NA,NA
3,0.553958634515496,0.553958634515496,0.553958634515496,0.553958634515496,NA,NA,0.5543093719755354,0.14563329201547406,0.5054657052580984,0.15224604016075072,0.820732674171978,0.07528111349556743,NA,NA
4,0.5418411172225703,0.5418411172225703,0.5418411172225703,0.5418411172225703,NA,NA,0.6001187436825393,0.1170789699059251,0.5363047047441735,0.11478796007386738,0.8357370810957595,0.06638064288816996,NA,NA
5,0.6292416998231124,0.6292416998231124,0.6292416998231124,0.6292416998231124,NA,NA,0.6427431643306944,0.10320250729834428,0.5731393808434594,0.11399687782488264,0.8755386290715749,0.05681463650337586,NA,NA
6,0.6367780034061644,0.6367780034061644,0.6367780034061644,0.6367780034061644,NA,NA,0.6789031491217657,0.10221100779363959,0.5853739404406911,0.10698096747150702,0.88749218987811,0.05768536369427266,NA,NA
7,0.7431291784678001,0.7431291784678001,0.7431291784678001,0.7431291784678001,NA,NA,0.7285034958298497,0.09526578284476112,0.6675459057323383,0.1087112980949747,0.9162199852495425,0.06439542725381106,NA,NA
8,0.7646167106023987,0.7646167106023987,0.7646167106023987,0.7646167106023987,NA,NA,0.7805889641484511,0.08329785675302048,0.7057002627735955,0.10644719274871185,0.9677103650034498,0.07872428362125143,NA,NA
9,0.7282257596195362,0.7282257596195362,0.7282257596195362,0.7282257596195362,NA,NA,0.8286451264964398,0.08452464653993964,0.6853288618336009,0.09667915699146946,0.9537112631626564,0.06772566882344852,NA,NA
10,0.7415776036997246,0.7415776036997246,0.7415776036997246,0.7415776036997246,NA,NA,0.8810095012113467,0.07696547942343532,0.7232580364537639,0.1027820235897189,0.9665006347089179,0.06799003095909827,NA,NA
11,0.8267765828759229,0.8267765828759229,0.8267765828759229,0.8267765828759229,NA,NA,0.9379578968523298,0.0707997968302635,0.7841243271480871,0.1025873979140211,0.9883811772527217,0.0707679297487315,NA,NA
12,0.8338724134426,0.8338724134426,0.8338724134426,0.8338724134426,NA,NA,0.9811904055352353,0.056810583608858954,0.840495013125979,0.10121048752738092,1.002160241278245,0.07336034892219487,1.3664807314860383,0.09793678327195748
13,0.8536463133524476,0.8536463133524476,0.8536463133524476,0.8536463133524476,NA,NA,1.0348547533248922,0.050409209657340553,0.8783882305857826,0.11325072614869877,1.0372226652596164,0.08579614620930164,NA,NA
14,0.9296169736817252,0.9296169736817252,0.9195511404691,0.9195511404691,1.043085805776638,0.08205197575081238,1.0780177147656442,0.035680005603264515,0.9471220739842278,0.08886280733360125,1.040935940027452,0.08282483672967847,0.9625938797988197,0.07148551159672242
15,1.0242691449278318,1.0242691449278318,0.8961237779947108,0.8961237779947108,NA,NA,1.1272607721433947,4.516810283266961e-16,1.024269144927832,0.07990299746399741,1.024269144927832,0.07990299746399741,1.0221910218319636,0.08096066064148269
